location_id;latitude;longitude;altitude_m;timestamp_utc;year;month;day;hour;day_of_year;solar_elevation_deg;solar_azimuth_deg;air_mass;sun_study_current_time;qa_flag;lux;ghi
Location_A;37.9853;23.759;148.0;2025-01-01T07:00:00+00:00;2025;1;1;7;1;11.91;132.04;4.7412;8.584;;4616.5;157.1
Location_A;37.9853;23.759;148.0;2025-01-01T08:00:00+00:00;2025;1;1;8;1;19.82;143.79;2.9285;9.584;;10994.3;315.6
Location_A;37.9853;23.759;148.0;2025-01-01T09:00:00+00:00;2025;1;1;9;1;25.63;157.37;2.3026;10.584;;13604.1;436.2
Location_A;37.9853;23.759;148.0;2025-01-01T10:00:00+00:00;2025;1;1;10;1;28.71;172.49;2.0751;11.584;;14904.2;501.8
Location_A;37.9853;23.759;148.0;2025-01-01T11:00:00+00:00;2025;1;1;11;1;28.64;188.23;2.0798;12.584;;14934.4;507.3
Location_A;37.9853;23.759;148.0;2025-01-01T12:00:00+00:00;2025;1;1;12;1;25.42;203.31;2.3196;13.584;;13543.0;452.2
Location_A;37.9853;23.759;148.0;2025-01-01T13:00:00+00:00;2025;1;1;13;1;19.51;216.8;2.9723;14.584;;10617.5;341.7
Location_A;37.9853;23.759;148.0;2025-01-01T14:00:00+00:00;2025;1;1;14;1;11.53;228.48;4.8904;15.584;;4418.4;189.2
Location_A;37.9853;23.759;148.0;2025-01-11T07:00:00+00:00;2025;1;11;7;11;12.21;130.45;4.6343;8.584;;4817.0;157.3
Location_A;37.9853;23.759;148.0;2025-01-11T08:00:00+00:00;2025;1;11;8;11;20.35;142.2;2.8559;9.584;;11414.3;315.6
Location_A;37.9853;23.759;148.0;2025-01-11T09:00:00+00:00;2025;1;11;9;11;26.44;155.85;2.2372;10.584;;13918.8;436.6
Location_A;37.9853;23.759;148.0;2025-01-11T10:00:00+00:00;2025;1;11;10;11;29.81;171.18;2.0057;11.584;;15404.8;504.4
Location_A;37.9853;23.759;148.0;2025-01-11T11:00:00+00:00;2025;1;11;11;11;29.98;187.25;1.9955;12.584;;15367.5;513.0
Location_A;37.9853;23.759;148.0;2025-01-11T12:00:00+00:00;2025;1;11;12;11;26.92;202.71;2.2005;13.584;;14214.4;461.8
Location_A;37.9853;23.759;148.0;2025-01-11T13:00:00+00:00;2025;1;11;13;11;21.08;216.56;2.7627;14.584;;11689.4;358.0
Location_A;37.9853;23.759;148.0;2025-01-11T14:00:00+00:00;2025;1;11;14;11;13.12;228.5;4.3303;15.584;;5365.0;211.4
Location_A;37.9853;23.759;148.0;2025-01-21T07:00:00+00:00;2025;1;21;7;21;13.15;128.56;4.3192;8.584;;5444.9;165.0
Location_A;37.9853;23.759;148.0;2025-01-21T08:00:00+00:00;2025;1;21;8;21;21.57;140.4;2.7036;9.584;;11901.5;329.3
Location_A;37.9853;23.759;148.0;2025-01-21T09:00:00+00:00;2025;1;21;9;21;27.96;154.26;2.1254;10.584;;14660.3;456.7
Location_A;37.9853;23.759;148.0;2025-01-21T10:00:00+00:00;2025;1;21;10;21;31.61;169.97;1.9029;11.584;;16010.7;531.1
Location_A;37.9853;23.759;148.0;2025-01-21T11:00:00+00:00;2025;1;21;11;21;31.98;186.57;1.8835;12.584;;16192.6;545.0
Location_A;37.9853;23.759;148.0;2025-01-21T12:00:00+00:00;2025;1;21;12;21;29.01;202.59;2.056;13.584;;14998.4;497.4
Location_A;37.9853;23.759;148.0;2025-01-21T13:00:00+00:00;2025;1;21;13;21;23.14;216.89;2.5312;14.584;;12436.1;395.4
Location_A;37.9853;23.759;148.0;2025-01-21T14:00:00+00:00;2025;1;21;14;21;15.1;229.15;3.7888;15.584;;6674.0;247.7
Location_A;37.9853;23.759;148.0;2025-01-21T15:00:00+00:00;2025;1;21;15;21;5.58;239.67;9.4;16.584;;1985.2;78.8
Location_A;37.9853;23.759;148.0;2025-01-31T07:00:00+00:00;2025;1;31;7;31;14.72;126.44;3.8819;8.584;;6484.9;204.9
Location_A;37.9853;23.759;148.0;2025-01-31T08:00:00+00:00;2025;1;31;8;31;23.43;138.46;2.502;9.584;;12692.2;377.2
Location_A;37.9853;23.759;148.0;2025-01-31T09:00:00+00:00;2025;1;31;9;31;30.14;152.65;1.9861;10.584;;15487.1;510.2
Location_A;37.9853;23.759;148.0;2025-01-31T10:00:00+00:00;2025;1;31;10;31;34.05;168.92;1.7821;11.584;;16993.9;587.6
Location_A;37.9853;23.759;148.0;2025-01-31T11:00:00+00:00;2025;1;31;11;31;34.56;186.26;1.7591;12.584;;17253.7;603.8
Location_A;37.9853;23.759;148.0;2025-01-31T12:00:00+00:00;2025;1;31;12;31;31.58;202.99;1.9048;13.584;;15991.1;557.3
Location_A;37.9853;23.759;148.0;2025-01-31T13:00:00+00:00;2025;1;31;13;31;25.6;217.83;2.3053;14.584;;13653.1;451.5
Location_A;37.9853;23.759;148.0;2025-01-31T14:00:00+00:00;2025;1;31;14;31;17.38;230.44;3.3154;15.584;;8515.0;297.1
Location_A;37.9853;23.759;148.0;2025-01-31T15:00:00+00:00;2025;1;31;15;31;7.67;241.18;7.1202;16.584;;2388.6;116.0
Location_A;37.9853;23.759;148.0;2025-02-01T07:00:00+00:00;2025;2;1;7;32;14.91;126.22;3.8351;8.584;;6636.1;204.8
Location_A;37.9853;23.759;148.0;2025-02-01T08:00:00+00:00;2025;2;1;8;32;23.65;138.26;2.4804;9.584;;12760.5;378.8
Location_A;37.9853;23.759;148.0;2025-02-01T09:00:00+00:00;2025;2;1;9;32;30.39;152.49;1.9714;10.584;;15461.8;513.1
Location_A;37.9853;23.759;148.0;2025-02-01T10:00:00+00:00;2025;2;1;10;32;34.33;168.83;1.7696;11.584;;17143.1;592.3
Location_A;37.9853;23.759;148.0;2025-02-01T11:00:00+00:00;2025;2;1;11;32;34.85;186.25;1.7466;12.584;;17357.3;609.7
Location_A;37.9853;23.759;148.0;2025-02-01T12:00:00+00:00;2025;2;1;12;32;31.86;203.07;1.8899;13.584;;16122.8;563.7
Location_A;37.9853;23.759;148.0;2025-02-01T13:00:00+00:00;2025;2;1;13;32;25.86;217.96;2.2838;14.584;;13642.2;457.6
Location_A;37.9853;23.759;148.0;2025-02-01T14:00:00+00:00;2025;2;1;14;32;17.62;230.6;3.2726;15.584;;8760.7;302.4
Location_A;37.9853;23.759;148.0;2025-02-01T15:00:00+00:00;2025;2;1;15;32;7.89;241.37;6.9429;16.584;;2780.7;120.2
Location_A;37.9853;23.759;148.0;2025-02-10T06:00:00+00:00;2025;2;10;6;41;6.58;113.75;8.1608;7.584;;2600.6;58.8
Location_A;37.9853;23.759;148.0;2025-02-10T07:00:00+00:00;2025;2;10;7;41;16.85;124.19;3.4137;8.584;;8137.9;250.6
Location_A;37.9853;23.759;148.0;2025-02-10T08:00:00+00:00;2025;2;10;8;41;25.87;136.43;2.283;9.584;;13739.8;431.2
Location_A;37.9853;23.759;148.0;2025-02-10T09:00:00+00:00;2025;2;10;9;41;32.88;151.07;1.8379;10.584;;16544.4;569.4
Location_A;37.9853;23.759;148.0;2025-02-10T10:00:00+00:00;2025;2;10;10;41;37.03;168.09;1.6575;11.584;;18003.5;648.6
Location_A;37.9853;23.759;148.0;2025-02-10T11:00:00+00:00;2025;2;10;11;41;37.62;186.38;1.6355;12.584;;18295.5;663.8
Location_A;37.9853;23.759;148.0;2025-02-10T12:00:00+00:00;2025;2;10;12;41;34.52;203.98;1.7609;13.584;;17200.6;613.6
Location_A;37.9853;23.759;148.0;2025-02-10T13:00:00+00:00;2025;2;10;13;41;28.31;219.41;2.1017;14.584;;14685.8;505.3
Location_A;37.9853;23.759;148.0;2025-02-10T14:00:00+00:00;2025;2;10;14;41;19.84;232.36;2.9255;15.584;;10941.4;346.2
Location_A;37.9853;23.759;148.0;2025-02-10T15:00:00+00:00;2025;2;10;15;41;9.89;243.3;5.646;16.584;;3516.3;156.6
Location_A;37.9853;23.759;148.0;2025-02-19T06:00:00+00:00;2025;2;19;6;50;8.68;111.5;6.3669;7.584;;3113.8;88.7
Location_A;37.9853;23.759;148.0;2025-02-19T07:00:00+00:00;2025;2;19;7;50;19.18;122.07;3.0195;8.584;;10254.8;285.1
Location_A;37.9853;23.759;148.0;2025-02-19T08:00:00+00:00;2025;2;19;8;50;28.46;134.57;2.0916;9.584;;14798.1;466.0
Location_A;37.9853;23.759;148.0;2025-02-19T09:00:00+00:00;2025;2;19;9;50;35.74;149.69;1.7086;10.584;;17492.5;603.8
Location_A;37.9853;23.759;148.0;2025-02-19T10:00:00+00:00;2025;2;19;10;50;40.09;167.55;1.5507;11.584;;19081.3;683.4
Location_A;37.9853;23.759;148.0;2025-02-19T11:00:00+00:00;2025;2;19;11;50;40.68;186.89;1.532;12.584;;19444.3;699.2
Location_A;37.9853;23.759;148.0;2025-02-19T12:00:00+00:00;2025;2;19;12;50;37.39;205.39;1.644;13.584;;18069.3;649.6
Location_A;37.9853;23.759;148.0;2025-02-19T13:00:00+00:00;2025;2;19;13;50;30.88;221.37;1.943;14.584;;15715.7;543.8
Location_A;37.9853;23.759;148.0;2025-02-19T14:00:00+00:00;2025;2;19;14;50;22.11;234.6;2.6414;15.584;;12076.4;387.1
